,RUS,UKR,BLR,EST,LVA,LTU,POL,HUN,ROU,ALB,AND,AUT,BGR,BIH,CHE,CZE,DEU,DNK,ESP,FIN,FRO,FRA,GIB,GRC,HRV,IRL,ISL,ITA,XKX,LIE,LUX,MCO,MDA,MKD,MLT,MNE,NLD,NOR,PRT,SMR,SRB,SVK,SVN,SWE
YR2000,20.7987606558703,28.2030972388552,168.620235850933,4.0184895250876,2.65425477796052,0.981615478857527,9.90017538843062,9.80361016908127,45.6665940440238,0.0500181363468233,,2.34486285357277,10.3162621289989,,1.55852919679006,3.77538829151733,1.44026818676794,2.90328203236457,3.43351563418762,3.04210080667796,,1.6759598872093,,3.15118162493827,4.611315547378,5.59071729957807,5.13647123245151,2.53768532095005,,,3.15076707022592,,31.2993015817784,6.60742291038535,2.36959287531812,,2.36052233801956,3.08550609131277,2.85303039287156,,71.1206287946541,12.0357805974299,8.91174418658764,0.899143734041743
YR2001,21.4770072117159,11.958808539046,61.1349331618477,5.74827981651377,2.48704003555455,1.36712030817826,5.40833545566151,9.11680911680913,34.4770123493528,3.10758827031435,,2.65000077279529,7.36093927231849,,0.989020329832555,4.66267556988255,1.98385693617829,2.33787000255261,3.58983413338114,2.57844080098894,,1.63478079549599,,3.37396832213867,3.7767024666589,4.87290487290487,6.40508550386865,2.78516542713555,,,2.66382110579103,,9.76466285757643,5.19888525744053,2.92949244324101,,4.15584127195611,3.00419703998231,4.36990330551795,,95.0052258100007,7.32962019115532,8.37966587492205,2.40595834145435
YR2002,15.7887307914462,0.757420846392867,42.5375481348794,3.57191270164023,1.93887573855892,0.281506610345511,1.90528215048054,5.26544821583986,22.5398862605386,7.77052583431551,,1.81035787764132,5.81014365721823,,0.64271150654328,1.90298097019031,1.42080560518857,2.42443661219694,3.0656568590222,1.57122012789382,,1.9234122872706,,3.62935871878871,1.67178437393382,4.614733276884,5.1970223021663,2.46532319171164,,,2.07408613571644,,5.30124390261594,2.31459794083216,2.1884904806055,,3.28753104712768,1.28672528415185,3.60034658290911,,19.4908321579689,3.12714222984604,7.48077770703756,2.15848213589263
YR2003,13.6632930228667,5.17967781908312,28.3978399133474,1.33499116549964,2.94264752948481,-1.13430854990244,0.682701375787657,4.66101694915256,15.2734889936255,0.484002611818484,,1.35555370896445,2.34864169582755,,0.638272930887213,0.118739205526785,1.03422776551069,2.07507820646504,3.03888839396654,0.877440386254743,,2.09847219146922,,3.53065027765554,1.76733780760626,3.49048968029138,2.0556632975374,2.67255552772852,-1.08481262327414,,2.04984030563515,,11.7460792058233,0.855562122724249,1.303837774426,,2.09199838997658,2.48782553461785,3.21899090682897,,9.87617889729578,8.55414305406651,5.54416421752898,1.92565534892387
YR2004,10.8886157326216,9.0480678605089,18.1082424937646,3.04811107523412,6.19238547197433,1.16410252104669,3.38264681884694,6.74434679569463,11.8743635936399,2.28001916938099,,2.06120618032866,6.1471307424627,,0.802908730955216,2.76010781671159,1.66573340932676,1.15435693124937,3.03924881090927,0.187120559084453,,2.14208964640242,,2.89884810758168,2.05539679050332,2.19962850718543,3.15819324298464,2.20673661423654,-1.06472696605527,,2.22567916428892,,12.5242768428228,-0.448650206552057,2.79082848067755,,1.26364739183177,0.454498502220854,2.365362040973,1.43083868527342,11.0263627183464,7.54850088183419,3.59297594249513,0.373659828721796
YR2005,12.6853039507349,13.5695764909248,10.3388794457932,4.07971423199846,6.74845027893117,2.65848484065266,2.18379872390258,3.56151711378355,9.01491283343835,2.36658195679796,,2.29913785639285,5.03883807111907,,1.17195420333701,1.85709789109223,1.54690965159041,1.81781458291257,3.36881409750382,0.623874450025199,,1.74586936380481,,3.54507273335083,3.31717824448043,2.42969198392961,3.98704782806592,1.98529298527983,-1.38518913159302,,2.48769665164086,,11.9591837222126,0.52551595071433,3.00796652450315,,1.68813017869622,1.53213367609252,2.27716394887833,1.68548890528349,16.1199806482826,2.70908494588391,2.45150132316474,0.453170852576176
YR2006,9.66865454789265,9.05252491133255,6.99712903535588,4.43762042389211,6.53619908765875,3.73912004060656,1.28469394366409,3.93032603841,6.55851412276983,2.37072831904283,,1.44154851119019,7.26159462769947,6.12556615620285,1.05950928324804,2.53399258343632,1.57742825864226,1.92422138464588,3.51557576832125,1.56666380704384,,1.67512449608728,,3.19594684144545,3.1898259147295,3.93163989540532,6.68707906136661,2.09084391012755,0.621646938601723,,2.66631494577072,,12.7777557830351,3.21362929606349,2.77378006481472,2.92451258123646,1.10150106517704,2.32934980757545,3.10766545871054,2.0952593561143,11.7240229980834,4.48333120449611,2.45792444195864,1.36021468627688
YR2007,9.00729868861076,12.8387796190181,8.42675273505308,6.60132603055634,10.0929775849168,5.73717382799847,2.45874312385397,7.95874516544909,4.83732928313989,2.93268248162319,,2.16855528800755,8.40253419005894,1.50077710611539,0.732350603122241,2.85312437211172,2.29834179696226,1.69326586220319,2.78679745804947,2.51066565240339,,1.48799805953858,,2.89500321516574,2.89928275583392,4.89711564381346,5.05155736492145,1.829741122024,4.35849695328368,,2.31245861786128,,12.3671668414302,2.25175798305448,1.24921923797625,4.34712215656114,1.61385859802103,0.712589073634205,2.45396528138739,2.49894575725804,6.3917064439141,2.75672371638138,3.65749563284104,2.21216883436735
YR2008,14.1107677840442,25.226461707384,14.8378764828254,10.3623580313683,15.4023191064986,10.9258856241655,4.1649719352477,6.0425125388106,7.85080255714483,3.32087090389268,,3.21595033239883,12.3487195994021,7.42704310332954,2.42604117060162,6.35866380152374,2.62838174873985,3.41626794258375,4.07534335957341,4.06595355358378,,2.81286194914787,,4.15279708110295,6.07696838798351,4.06030495117353,12.6943942775878,3.34783258401023,9.35041764658177,,3.40187963025566,,12.783047261882,8.33189666968097,4.25862171897076,8.75872769588797,2.48650198289454,3.75393081761006,2.58850657657964,4.29320249287706,12.410986775178,4.59817976325028,5.64742380573934,3.43704910602875
YR2009,11.6473295764118,15.8811924594476,12.9456563410401,-0.0784083112810205,3.53410672858941,4.4530445651853,3.79539242483406,4.21171171171172,5.58742004264392,2.2669220945083,,0.506308827696486,2.75320223914816,-0.38146428245309,-0.480481936423328,1.0193773532923,0.31273762987172,1.30470991024336,-0.287813083535237,-9.17360403259616e-07,,0.0876204781574529,,1.2100726919781,2.37852845904674,-4.47810339150477,12.0031298461743,0.774768131387384,-2.41026401661228,,0.368041997888919,,-0.0627185967109989,-0.739633963061138,2.08432746082342,3.46672373207794,1.18977687021549,2.19738586853571,-0.83553002150417,2.19959237046011,8.1169509223808,1.61510464058236,0.83926224679384,-0.494460544378046
