,Date,Russia,Ukraine,Belarus,Estonia,Latvia,Lithuania,Poland,Hungary,Romania,Albania,Andorra,Austria,Bulgaria,Bosnia and Herzegovina,Switzerland,Czech Republic,Germany,Denmark,Spain,Finland,Faroe Islands,France,Gibralta,Greece,Croatia,Ireland,Iceland,Italy,Kosovo,Liechtenstein,Luxemburg,Monaco,Moldova,Macedonia,Malta,Montenegro,Netherlands,Norway,Portugal,San Marino,Serbia,Slovakia,Slovenia,Sweden
0,2000-01-01,20.79876066,28.20309724,168.6202359,4.018489525,2.654254778,0.981615479,9.900175388,9.803610169,45.66659404,0.050018136,,2.344862854,10.31626213,,1.558529197,3.775388292,1.440268187,2.903282032,3.433515634,3.042100807,,1.675959887,,3.151181625,4.611315547,5.5907173,5.136471232,2.537685321,,,3.15076707,,31.29930158,6.60742291,2.369592875,,2.360522338,3.085506091,2.853030393,,71.12062879,12.0357806,8.911744187,0.899143734
1,2001-01-01,21.47700721,11.95880854,61.13493316,5.748279817,2.487040036,1.367120308,5.408335456,9.116809117,34.47701235,3.10758827,,2.650000773,7.360939272,,0.98902033,4.66267557,1.983856936,2.337870003,3.589834133,2.578440801,,1.634780795,,3.373968322,3.776702467,4.872904873,6.405085504,2.785165427,,,2.663821106,,9.764662858,5.198885257,2.929492443,,4.155841272,3.00419704,4.369903306,,95.00522581,7.329620191,8.379665875,2.405958341
2,2002-01-01,15.78873079,0.757420846,42.53754813,3.571912702,1.938875739,0.28150661,1.90528215,5.265448216,22.53988626,7.770525834,,1.810357878,5.810143657,,0.642711507,1.90298097,1.420805605,2.424436612,3.065656859,1.571220128,,1.923412287,,3.629358719,1.671784374,4.614733277,5.197022302,2.465323192,,,2.074086136,,5.301243903,2.314597941,2.188490481,,3.287531047,1.286725284,3.600346583,,19.49083216,3.12714223,7.480777707,2.158482136
3,2003-01-01,13.66329302,5.179677819,28.39783991,1.334991165,2.942647529,-1.13430855,0.682701376,4.661016949,15.27348899,0.484002612,,1.355553709,2.348641696,,0.638272931,0.118739206,1.034227766,2.075078206,3.038888394,0.877440386,,2.098472191,,3.530650278,1.767337808,3.49048968,2.055663298,2.672555528,-1.084812623,,2.049840306,,11.74607921,0.855562123,1.303837774,,2.09199839,2.487825535,3.218990907,,9.876178897,8.554143054,5.544164218,1.925655349
4,2004-01-01,10.88861573,9.048067861,18.10824249,3.048111075,6.192385472,1.164102521,3.382646819,6.744346796,11.87436359,2.280019169,,2.06120618,6.147130742,,0.802908731,2.760107817,1.665733409,1.154356931,3.039248811,0.187120559,,2.142089646,,2.898848108,2.055396791,2.199628507,3.158193243,2.206736614,-1.064726966,,2.225679164,,12.52427684,-0.448650207,2.790828481,,1.263647392,0.454498502,2.365362041,1.430838685,11.02636272,7.548500882,3.592975942,0.373659829
5,2005-01-01,12.68530395,13.56957649,10.33887945,4.079714232,6.748450279,2.658484841,2.183798724,3.561517114,9.014912833,2.366581957,,2.299137856,5.038838071,,1.171954203,1.857097891,1.546909652,1.817814583,3.368814098,0.62387445,,1.745869364,,3.545072733,3.317178244,2.429691984,3.987047828,1.985292985,-1.385189132,,2.487696652,,11.95918372,0.525515951,3.007966525,,1.688130179,1.532133676,2.277163949,1.685488905,16.11998065,2.709084946,2.451501323,0.453170853
6,2006-01-01,9.668654548,9.052524911,6.997129035,4.437620424,6.536199088,3.739120041,1.284693944,3.930326038,6.558514123,2.370728319,,1.441548511,7.261594628,6.125566156,1.059509283,2.533992583,1.577428259,1.924221385,3.515575768,1.566663807,,1.675124496,,3.195946841,3.189825915,3.931639895,6.687079061,2.09084391,0.621646939,,2.666314946,,12.77775578,3.213629296,2.773780065,2.924512581,1.101501065,2.329349808,3.107665459,2.095259356,11.724023,4.483331204,2.457924442,1.360214686
7,2007-01-01,9.007298689,12.83877962,8.426752735,6.601326031,10.09297758,5.737173828,2.458743124,7.958745165,4.837329283,2.932682482,,2.168555288,8.40253419,1.500777106,0.732350603,2.853124372,2.298341797,1.693265862,2.786797458,2.510665652,,1.48799806,,2.895003215,2.899282756,4.897115644,5.051557365,1.829741122,4.358496953,,2.312458618,,12.36716684,2.251757983,1.249219238,4.347122157,1.613858598,0.712589074,2.453965281,2.498945757,6.391706444,2.756723716,3.657495633,2.212168834
8,2008-01-01,14.11076778,25.22646171,14.83787648,10.36235803,15.40231911,10.92588562,4.164971935,6.042512539,7.850802557,3.320870904,,3.215950332,12.3487196,7.427043103,2.426041171,6.358663802,2.628381749,3.416267943,4.07534336,4.065953554,,2.812861949,,4.152797081,6.076968388,4.060304951,12.69439428,3.347832584,9.350417647,,3.40187963,,12.78304726,8.33189667,4.258621719,8.758727696,2.486501983,3.753930818,2.588506577,4.293202493,12.41098678,4.598179763,5.647423806,3.437049106
9,2009-01-01,11.64732958,15.88119246,12.94565634,-0.078408311,3.534106729,4.453044565,3.795392425,4.211711712,5.587420043,2.266922095,,0.506308828,2.753202239,-0.381464282,-0.480481936,1.019377353,0.31273763,1.30470991,-0.287813084,-9.17e-07,,0.087620478,,1.210072692,2.378528459,-4.478103392,12.00312985,0.774768131,-2.410264017,,0.368041998,,-0.062718597,-0.739633963,2.084327461,3.466723732,1.18977687,2.197385869,-0.835530022,2.19959237,8.116950922,1.615104641,0.839262247,-0.494460544
